N,P,K,temperature,humidity,ph,rainfall,label
98.12468395953948,17.463906361142907,53.82122095037242,25.863438395612334,96.97189365496023,5.790006023942377,21.430504612568345,muskmelon
80.90471112561468,19.401081299052287,53.057081383578115,28.85636802843529,89.1007179706153,6.472718987866933,62.218576697451255,watermelon
50.22540115224351,49.60570687968148,54.23089195362906,32.77666033632239,96.84249401312438,7.573692240701961,153.28737686893632,papaya
51.567107247677775,53.9497588260161,52.60441092309906,31.620655370419268,85.4285745109594,6.600699554455563,115.83830783914057,papaya
19.55255260202827,145.0,161.45513460741427,23.66804734826132,95.7624168853711,5.678830393505507,94.2446685046073,apple
20.79852639100445,28.869713875625852,31.20619566688382,30.279843004121805,45.183018294007155,5.9491776121653235,78.72708822900609,mango
20.806580990012833,145.0,205.0,21.15983325873565,85.43755654831844,5.661088425661501,84.39311079716376,apple
24.77352784161266,51.435500952470896,31.985889399651466,27.493689432337924,57.357655858645266,7.244889404754791,48.76869819427365,mothbeans
20.505604316487467,48.273562377129466,27.268447705883936,31.098372785579006,88.13306818631536,6.597487670299371,70.02344388332112,mungbean
17.667564709734673,52.45565325527319,18.39525840772794,21.25238812111282,69.81962711527785,6.762360788695068,57.34444334789387,lentil
39.61097936933563,66.20749726881617,16.096224949199755,36.46977243382671,59.37206442984015,7.1526936675850035,61.4749734793262,blackgram
24.742239436927363,10.656715969901017,32.97956703504671,28.311981438753303,100.0,5.664265374165928,149.73273438115294,coconut
19.54729457396729,14.694066925411935,36.62219008320912,20.99571461582734,92.30412432701932,6.571411667888191,82.23164565249233,pomegranate
77.4033007330829,48.13085589527125,37.15965360511788,24.628926497339535,75.77018483685374,6.860904937865751,221.51742562983117,jute
23.709679793977067,13.91646653759537,22.028634530815616,28.965043227035522,97.00569130632115,5.81989846927489,166.20315300619512,coconut
17.039217229551742,15.46016503846805,43.34047408451608,17.719591997011207,91.65959223853943,5.7918075448895685,98.1431106078104,pomegranate
20.090152043314667,145.0,191.36240553262147,21.96908515439409,88.25954508575668,5.184395043799424,58.53035674271402,apple
82.73501018136827,54.84514525506096,46.92373962570458,24.125554355283732,59.48205341392114,6.076353414319,112.93794861726812,maize
